handle,painting_prefix,legacy_title,legacy_collection_hint,proposed_medusa_collection,proposed_category,legacy_cs_cart_product_id,flow_a_media_count,workbook_row_key,workbook_product_code,painting_name,medusa_product_type,variant_strategy,price_rub,solid_full_price_rub,solid_front_ldsp_body_price_rub,solid_full_sku_suffix,solid_front_ldsp_body_sku_suffix,tier_notes,compare_at_price_rub,currency,status_draft_or_published,category_seed_needed,ingestion_allowed,operator_decision,operator_notes
av-05-1,AV,Комод стандартный Ant`s Village (гл.440),willie-winkie,willie-winkie,komody,1066,2,ВВ:21,WW-05-1,Ant's Village,CONFIGURABLE,configurable_tiers,83820,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,smoke_test_note; source: ВВ:ВВ:21 WW-05-1
ba-05-3,BA,Комод высокий Ballet (гл.440),willie-winkie,willie-winkie,komody,1174,2,ВВ:19,WW-05-3,Ballet,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
ba-62-1,BA,Стеллаж для книг Ballet (гл. 440),willie-winkie,willie-winkie,stellazhi,933,2,ВВ:33,WW-62-1,Ballet,CONFIGURABLE,configurable_tiers,99390,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:33 WW-62-1
fa-05-3,FA,Комод высокий Fairies (гл.560),willie-winkie,willie-winkie,komody,1203,2,ВВ:19,WW-05-3,Fairies,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
fa-06-1,FA,Столик туалетный с зеркалом Fairies,willie-winkie,willie-winkie,stoly-i-stoliki,1016,2,ВВ:48,WW-06-1,Fairies,CONFIGURABLE,configurable_tiers,59730,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:48 WW-06-1
fa-67-1,FA,Стол рабочий Fairies,willie-winkie,willie-winkie,stoly-i-stoliki,759,2,ВВ:44,WW-67-1,Fairies,CONFIGURABLE,configurable_tiers,85250,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:44 WW-67-1
fk-05-1,FK,Комод стандартный Fantasy Kingdom (гл.440),willie-winkie,willie-winkie,komody,1070,2,ВВ:21,WW-05-1,Fantasy Kingdom,CONFIGURABLE,configurable_tiers,83820,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:21 WW-05-1
fk-05-3,FK,Комод высокий Fantasy Kingdom (гл.560),willie-winkie,willie-winkie,komody,1204,2,ВВ:19,WW-05-3,Fantasy Kingdom,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
in-67-1,IN,Стол рабочий Infanta,willie-winkie,willie-winkie,stoly-i-stoliki,751,1,ВВ:44,WW-67-1,Infanta,CONFIGURABLE,configurable_tiers,85250,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:44 WW-67-1
mo-02-1,MO,"Шкаф для одежды 2-дв. Molly, высокий",molly-ru,molly,shkafy,2048,2,ВВ:57,WW-02-1,Molly,CONFIGURABLE,configurable_tiers,148280,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,no,no,approve,source: ВВ:ВВ:57 WW-02-1
mo-81-1,MO,Столик детский Molly,willie-winkie,willie-winkie,stoly-i-stoliki,1244,1,ВВ:47,WW-81-1,Molly,CONFIGURABLE,configurable_tiers,22660,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:47 WW-81-1
pa-05-1,PA,Комод стандартный Pastoral (гл.440),willie-winkie,willie-winkie,komody,1057,2,ВВ:21,WW-05-1,Pastoral,CONFIGURABLE,configurable_tiers,83820,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:21 WW-05-1
pa-05-3,PA,Комод высокий Pastoral (гл.560),willie-winkie,willie-winkie,komody,1192,2,ВВ:19,WW-05-3,Pastoral,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
pa-62-1,PA,Стеллаж для книг Pastoral (гл. 560),willie-winkie,willie-winkie,stellazhi,952,2,ВВ:33,WW-62-1,Pastoral,CONFIGURABLE,configurable_tiers,99390,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:33 WW-62-1
rl-05-3,RL,Комод высокий Royal Lilies (гл.440),willie-winkie,willie-winkie,komody,1180,2,ВВ:19,WW-05-3,Royal Lilies,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
rl-67-1,RL,Стол рабочий Royal Lilies,willie-winkie,willie-winkie,stoly-i-stoliki,753,1,ВВ:44,WW-67-1,Royal Lilies,CONFIGURABLE,configurable_tiers,85250,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:44 WW-67-1
rs-05-3,RS,Комод высокий Rural Scenery (гл.560),willie-winkie,willie-winkie,komody,1193,2,ВВ:19,WW-05-3,Rural Scenery,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
rs-62-1,RS,Стеллаж для книг Rural Scenery высокий,willie-winkie,willie-winkie,stellazhi,971,2,ВВ:33,WW-62-1,Rural Scenery,CONFIGURABLE,configurable_tiers,99390,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:33 WW-62-1
sh-81-1,SH,Столик детский Sweet Home,willie-winkie,willie-winkie,stoly-i-stoliki,1248,2,ВВ:47,WW-81-1,Sweet Home,CONFIGURABLE,configurable_tiers,22660,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:47 WW-81-1
tb-05-3,TB,Комод высокий Teddy Bear  (гл.560),willie-winkie,willie-winkie,komody,1198,2,ВВ:19,WW-05-3,Teddy Bear,CONFIGURABLE,configurable_tiers,113080,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:19 WW-05-3
tb-62-1,TB,Стеллаж для книг высокий Teddy Bear,willie-winkie,willie-winkie,stellazhi,1809,2,ВВ:33,WW-62-1,Teddy Bear,CONFIGURABLE,configurable_tiers,99390,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:33 WW-62-1
tb-67-1,TB,Стол рабочий Teddy Bear,willie-winkie,willie-winkie,stoly-i-stoliki,754,2,ВВ:44,WW-67-1,Teddy Bear,CONFIGURABLE,configurable_tiers,85250,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,yes,no,approve,source: ВВ:ВВ:44 WW-67-1
te-02-2,TE,Шкаф для одежды 2-дв. Templars высокий,willie-winkie,willie-winkie,shkafy,1872,1,ВВ:58,WW-02-2,Templars,CONFIGURABLE,configurable_tiers,163450,TODO_OPERATOR,TODO_OPERATOR,,,,,rub,draft,no,no,approve,source: ВВ:ВВ:58 WW-02-2
