sheet,collection,sku_raw,sku_normalized,title,retail_solid,retail_black_gloss_bi,retail_ldsp,finish_prices,catalog_verdict,confidence,catalog_sku,catalog_handle,catalog_title,note
ОЛИВЕР - ЧЕРНЫЙ,Oliver,55-2,OL-55-2,Банкетка большая,19900.0,22885.0,,,MATCH_EXACT,high,OL-55-2,ol-55-2,Банкетка большая,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,55-1,OL-55-1,Банкетка малая,14500.0,16675.0,,,MATCH_EXACT,high,OL-55-1,ol-55-1,Банкетка малая,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,84-2,OL-84-2,Бортик к кровати большой,7500.0,8625.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,84-1,OL-84-1,Бортик к кровати малый,5500.0,6325.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,57-2,OL-57-2,Диван большой,145000.0,166750.0,,,MATCH_EXACT,high,OL-57-2,ol-57-2,Диван большой,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,57-1,OL-57-1,Диван малый,118000.0,135700.0,,,MATCH_EXACT,high,OL-57-1,ol-57-1,Диван малый,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,57-3,OL-57-3,Диван-кровать малый (140*190),125000.0,143750.0,,,MATCH_EXACT,high,OL-57-3,ol-57-3,Диван-кровать малый (140×190),Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,08-1,OL-08-1,Зеркало навесное овальное,19950.0,22942.5,17600.0,,MATCH_SPLIT_HANDLE,high,OL-08-1,ol-08-1-mirror,Зеркало навесное овальное,Workbook reused the SKU for two products. Live catalog already split the handle.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,09-2,OL-09-2,Зеркало напольное,38900.0,44735.0,36400.0,,MATCH_EXACT,high,OL-09-2,ol-09-2,Зеркало напольное,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,86-1,OL-86-1,Каркас для балдахина,5500.0,6325.0,,,NO_CATALOG,high,,,,Not in current live demo merchandising (117 SKU + split handles)
ОЛИВЕР - ЧЕРНЫЙ,Oliver,05-3,OL-05-3,Комод высокий,119500.0,137425.0,103700.0,,MATCH_EXACT,high,OL-05-3,ol-05-3,Комод высокий,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,05-1,OL-05-1,Комод стандартный,89900.0,103385.0,71400.0,,MATCH_EXACT,high,OL-05-1,ol-05-1,Комод стандартный,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,25-1,OL-25-1,Комод столовый,142900.0,164335.0,117000.0,,MATCH_EXACT,high,OL-25-1,ol-25-1,Комод столовый,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
ОЛИВЕР - ЧЕРНЫЙ,Oliver,05-2,OL-05-2,Комод широкий,123500.0,142025.0,103700.0,,MATCH_EXACT,high,OL-05-2,ol-05-2,Комод широкий,Exact SKU on live demo Oliver also has BI +15% and optional LDSP on the same SKU.
