sheet,collection,excel_row,sku_raw,sku_normalized,demo_alias_sku,title,dimensions,currency,retail_solid,retail_black_gloss_bi,retail_ldsp,finish_prices,on_live_demo,demo_sku_match,note
ОЛИВЕР - ЧЕРНЫЙ,Oliver,8,55-2,OL-55-2,,Банкетка большая,В.415 х Ш.970 х Гл.350,RUB,19900.0,22885.0,,,1,OL-55-2,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,9,55-1,OL-55-1,,Банкетка малая,В.440 х Ш.420 х Гл.350,RUB,14500.0,16675.0,,,1,OL-55-1,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,10,84-2,OL-84-2,,Бортик к кровати большой,В.300 х Ш.1000 х Гл. 40,RUB,7500.0,8625.0,,,0,,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,11,84-1,OL-84-1,,Бортик к кровати малый,В.300 х Ш.700 х Гл. 40,RUB,5500.0,6325.0,,,0,,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,12,57-2,OL-57-2,,Диван большой,В.932 х Ш.2010 х Гл.914,RUB,145000.0,166750.0,,,1,OL-57-2,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,13,57-1,OL-57-1,,Диван малый,В.932 х Ш.1630 х Гл.914,RUB,118000.0,135700.0,,,1,OL-57-1,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,14,57-3,OL-57-3,,Диван-кровать малый (140*190),В. 932х Ш.1630х Гл.753,RUB,125000.0,143750.0,,,1,OL-57-3,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,15,08-1,OL-08-1,,Зеркало навесное овальное,В.1000 х Ш.650 х Гл.30,RUB,19950.0,22942.5,17600.0,,1,OL-08-1,ЦЕНА ПО ЗАПРОСУ НЕТ РАЗРАБОТОК и ЧЕРТЕЖЕЙ В ЛДСП
ОЛИВЕР - ЧЕРНЫЙ,Oliver,16,09-2,OL-09-2,,Зеркало напольное,В.1586 х Ш.664 х Гл.484,RUB,38900.0,44735.0,36400.0,,1,OL-09-2,ЦЕНА ПО ЗАПРОСУ НЕТ РАЗРАБОТОК и ЧЕРТЕЖЕЙ В ЛДСП
ОЛИВЕР - ЧЕРНЫЙ,Oliver,17,86-1,OL-86-1,,Каркас для балдахина,В.190 х Ш.400 х Гл.250,RUB,5500.0,6325.0,,,0,,НЕТ
ОЛИВЕР - ЧЕРНЫЙ,Oliver,19,05-3,OL-05-3,,Комод высокий,В.1318 х Ш.760 х Гл.555,RUB,119500.0,137425.0,103700.0,,1,OL-05-3,ЦЕНА ПО ЗАПРОСУ НЕТ РАЗРАБОТОК и ЧЕРТЕЖЕЙ В ЛДСП
ОЛИВЕР - ЧЕРНЫЙ,Oliver,20,05-1,OL-05-1,,Комод стандартный,В.812 х Ш.900 х Гл.555,RUB,89900.0,103385.0,71400.0,,1,OL-05-1,ЦЕНА ПО ЗАПРОСУ НЕТ РАЗРАБОТОК и ЧЕРТЕЖЕЙ В ЛДСП
ОЛИВЕР - ЧЕРНЫЙ,Oliver,21,25-1,OL-25-1,,Комод столовый,В.940 х Ш.1686 х Гл.550,RUB,142900.0,164335.0,117000.0,,1,OL-25-1,ЦЕНА ПО ЗАПРОСУ НЕТ РАЗРАБОТОК и ЧЕРТЕЖЕЙ В ЛДСП
