code,title,value,value_kind,lead_or_size_note,excel_row
S-01,Кровать со спальным местом по длине 200 вместо 190,1.1,multiplier,45 рабочих дней.,9
S-02,Ящик для игрушек с мягкой сидушкой,1.1,multiplier,45 рабочих дней.,10
S-03,Перекрас в другой цвет из каталога окрасов фабрики ОЛИВЕР/ОКСФОРД,1.15,multiplier,45 рабочих дней.,11
S-04,Перекрас в другой цвет из каталога окрасов фабрики ВВ и МОНЧЕЛСИ,1.0,multiplier,45 рабочих дней.,12
S-05,Отказ от росписи,0.95,multiplier,45 рабочих дней.,13
S-06,Замена филенок шкафа на зеркальные элементы,1.05,multiplier,45 рабочих дней.,14
S-07,Увеличение глубины или ширины столешницы на величину до 15см,1.05,multiplier,45 рабочих дней.,15
S-MN-01,Диван MN-57-4 с выкатным ящиком под матрас 120х200хН15 МОНЧЕЛСИ,157000.0,absolute_rub,45 рабочих дней.,16
S-MN-01-1,Каретная стяжка на изголовье вместо деревяной филенки.,1.1,multiplier,45 рабочих дней.,17
S-MN-02,Диван MN-57-4 с мягкой филенкой МОНЧЕЛСИ,1.05,multiplier,45 рабочих дней.,18
S-MN-03,Стол письменный однотумбовый для двоих МОНЧЕЛСИ,156100.0,absolute_rub,45 рабочих дней.,19
S-MN-04,Стол письменный без тумбы для двоих МОНЧЕЛСИ,82870.0,absolute_rub,45 рабочих дней.,20
S-MN-05,Угловой письменный стол с ящиками 78х120х180 МОНЧЕЛСИ,1.2,multiplier,45 рабочих дней.,21
S-MN-06,Шкаф книжный двухдверный с шестью ящиками и деревянными филенками МОНЧЕЛСИ,1.4,multiplier,45 рабочих дней.,22
S-MN-07,Шкаф с антресолью общей высотой 270 МОНЧЕЛСИ,1.15,multiplier,45 рабочих дней.,23
S-MN-08,Шкаф с антресолью общей высотой 280 МОНЧЕЛСИ,1.2,multiplier,45 рабочих дней.,24
S-MN-09,Шкаф с антресолью общей высотой 290 MONCHELSEA,1.25,multiplier,45 рабочих дней.,25
S-MN-10,Кровать SUPER KING двухспальная 200х200 увеличение ширины на 20 МОНЧЕЛСИ,1.2,multiplier,45 рабочих дней.,26
S-OL-21-1,Стол обеденный раздвижной на 500 ОЛИВЕР,192700.0,absolute_rub,в780_ш1940_г1000,27
S-OL-01,Диван большой OL-57-2 без сидушки под матрас 188х80хН15 ОЛИВЕР,130500.0,absolute_rub,45 рабочих дней.,28
S-OL-04,Диван OL-57-1 без сидушки под матрас 150х80хН15 ОЛИВЕР,106200.0,absolute_rub,45 рабочих дней.,29
S-OL-06,Кровать Оливер OL-14-1 с изголовьем по обеим сторонам ОЛИВЕР,1.15,multiplier,45 рабочих дней.,30
S-OL-07,Шкаф двухдверный с тремя выдвижными ящиками ОЛИВЕР,1.2,multiplier,45 рабочих дней.,31
S-OL-09,Кровать SMALL DOUBLE полуторная 120х190 с пристенной боковиной ОЛИВЕР,1.4,multiplier,45 рабочих дней.,32
S-OL-10,"Консоль ОЛИВЕР, ВШГ 780х1260х355 с деревянными или зеркальными дверками",81600.0,absolute_rub,45 рабочих дней.,33
S-08,Обивка изголовья кровати ПРОВАНС тканью на выбор,1.0,multiplier,45 рабочих дней.,34
S-WW-01,Диван большой без спинки под матрас 90х190 ВВ,0.7,multiplier,45 рабочих дней.,35
S-WW-02,Диван большой с мягкой спинкой без рисунка 90х190 ВВ,0.85,multiplier,45 рабочих дней.,36
S-WW-03,Шкаф двухдверный без нижних ящиков ВВ,0.85,multiplier,45 рабочих дней.,37
S-WW-04,Кровать с мягкой филенкой вместо росписи ВВ,1.0,multiplier,45 рабочих дней.,38
S-WW-07,Кровать без изножья ВВ,0.95,multiplier,45 рабочих дней.,39
S-WW-08,Увеличение по высоте боковых подлокотников на каждые 10 см + к цене за один подлокотник.,5250.0,absolute_rub,Стандартная высота 260 мм,40
S-BТ-16-20,Кровать Бертранд 2-сп.(160*200),163150.0,absolute_rub,В1529_Ш1862_Гл2146,41
S-BT-20-20,Кровать Бертранд 2-сп.(200*200),228150.0,absolute_rub,В1529_Ш2262_Гл2146,42
