case_id,target,scope,mode,db_name,confirm,ack,legacy_apply,legacy_confirm,url_variant,expected
S01,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,,,,ok,PASS
S02,staging,rooms-v1-owner-approved,apply,woodright_staging,,,,,ok,PASS
S03,staging,rooms-v1-owner-approved,dry-run,woodright_production,,,,,ok,FAIL
S04,production,rooms-v1-owner-approved,dry-run,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,PASS
S05,production,rooms-v1-owner-approved,apply,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,PASS
S06,production,rooms-v1-owner-approved,dry-run,woodright_production,,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,FAIL
S07,production,rooms-v1-owner-approved,dry-run,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,,,,ok,FAIL
S08,production,rooms-v1-owner-approved,dry-run,woodright_staging,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,FAIL
S09,,rooms-v1-owner-approved,dry-run,woodright_staging,,,,,ok,FAIL
S10,unknown,rooms-v1-owner-approved,dry-run,woodright_staging,,,,,ok,FAIL
S11,staging,,dry-run,woodright_staging,,,,,ok,FAIL
S12,staging,wrong-scope,dry-run,woodright_staging,,,,,ok,FAIL
S13,staging,rooms-v1-owner-approved,,woodright_staging,,,,,ok,FAIL
S14,staging,rooms-v1-owner-approved,boom,woodright_staging,,,,,ok,FAIL
S15,staging,rooms-v1-owner-approved,dry-run,,,,,,missing_url,FAIL
S16,staging,rooms-v1-owner-approved,dry-run,woodright_shadow,,,,,ok,FAIL
S17,staging,rooms-v1-owner-approved,dry-run,woodright_verification,,,,,ok,FAIL
S18,staging,rooms-v1-owner-approved,dry-run,postgres,,,,,ok,FAIL
S19,staging,rooms-v1-owner-approved,dry-run,woodright_staging,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,,,,ok,FAIL
S20,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,FAIL
S21,staging,rooms-v1-owner-approved,dry-run,,,,,,malformed,FAIL
S22,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,,,,whitespace_confirm,FAIL
S23,staging,rooms-v1-owner-approved,dry-run,,,,,,empty_url,FAIL
S24,staging,rooms-v1-owner-approved,dry-run,,,,,,no_path,FAIL
S25,staging,rooms-v1-owner-approved,dry-run,,,,,,root_path,FAIL
S26,staging,rooms-v1-owner-approved,dry-run,,,,,,extra_segment,FAIL
S27,staging,rooms-v1-owner-approved,dry-run,,,,,,trailing_slash,FAIL
S28,staging,rooms-v1-owner-approved,dry-run,,,,,,query_dbname,FAIL
S29,staging,rooms-v1-owner-approved,dry-run,,,,,,mysql_protocol,FAIL
S30,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,,1,,ok,FAIL
S31,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,,,1,ok,FAIL
S32,production,rooms-v1-owner-approved,dry-run,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED ,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,FAIL
S33,production,rooms-v1-owner-approved,dry-run,woodright_production,roomset_v1_production_owner_approved,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,ok,FAIL
S34,production,rooms-v1-owner-approved,apply,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,I_UNDERSTAND_THIS_WRITES_PRODUCTION,1,,ok,FAIL
S35,staging,rooms-v1-owner-approved,dry-run,,,,,,missing_host,FAIL
S36,staging,rooms-v1-owner-approved,dry-run,woodright_staging,,,,,pct_exact_staging,PASS
S37,staging,rooms-v1-owner-approved,dry-run,,,,,,pct_uppercase,FAIL
S38,staging,rooms-v1-owner-approved,dry-run,,,,,,pct_whitespace,FAIL
S39,production,rooms-v1-owner-approved,dry-run,woodright_production,ROOMSET_V1_PRODUCTION_OWNER_APPROVED,I_UNDERSTAND_THIS_WRITES_PRODUCTION,,,pct_exact_production,PASS
