product_id,expected_handle,current_handle,expected_sku,current_sku,expected_collection,current_collection,identity_match,current_text_matches_export,apply_status,notes
prod_01KNTBXADAKWN6BXHSYFRX0R2F,co-02-1,co-02-1,CO-02-1,CO-02-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADA9TM4A89YEGTRVFDR,co-05-1,co-05-1,CO-05-1,CO-05-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADAV2SBRCDYKZDNJJDB,co-08-1,co-08-1,CO-08-1,CO-08-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADASA751ZC9C33QCE9M,co-14-2,co-14-2,CO-14-2,CO-14-2,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADAMWN4PD2KMWP2E4MH,co-15-2,co-15-2,CO-15-2,CO-15-2,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADAPWAQGMQG48P00R3M,co-61-1,co-61-1,CO-61-1,CO-61-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADB4V43P4P0KDTHVDQR,co-62-1,co-62-1,CO-62-1,CO-62-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADB2M4E381QSZ5X850S,co-62-2,co-62-2,CO-62-2,CO-62-2,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADBFHZ2C5MH2M4PVVT8,co-62-3,co-62-3,CO-62-3,CO-62-3,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADB5BFDKMSAB35J8Z0V,co-65-1,co-65-1,CO-65-1,CO-65-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADBCCE0GHPB33PVQXS2,co-65-2,co-65-2,CO-65-2,CO-65-2,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADCVEHH7HVB0ZGDS1KV,co-66-1,co-66-1,CO-66-1,CO-66-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KNTBXADCDTMNKGW1C9XPD1YT,co-69-1,co-69-1,CO-69-1,CO-69-1,Country London Paris,Country London Paris,true,true,ready,
prod_01KM1QHNHMVXN3YQ3JDZCYQTM5,greenwich-gr-09-1-mirror,greenwich-gr-09-1-mirror,GR-09-1-M,GR-09-1-M,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHNKSG173KZ6C2AZ5JR,greenwich-gr-05-1,greenwich-gr-05-1,GR-05-1,GR-05-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHNR5R4YZKQERDE8EZ6,greenwich-gr-44-1,greenwich-gr-44-1,GR-44-1,GR-44-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHPTNKR0E7T538427YJ,greenwich-gr-67-1,greenwich-gr-67-1,GR-67-1,GR-67-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHRHYFRQWV6H2B0YV2R,greenwich-gr-42-1,greenwich-gr-42-1,GR-42-1,GR-42-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHWH2M61Z8VR182RMJF,greenwich-gr-08-1,greenwich-gr-08-1,GR-08-1,GR-08-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHX9FDMX9RHBZAB7K1K,greenwich-gr-08-2,greenwich-gr-08-2,GR-08-2,GR-08-2,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHY2EE4PEMPKZ8YM3QZ,greenwich-gr-26-1,greenwich-gr-26-1,GR-26-1,GR-26-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHYQKVZHCN3SM9BY42Z,greenwich-gr-02-1,greenwich-gr-02-1,GR-02-1,GR-02-1,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHZQSQM54A74VQJNH75,greenwich-gr-02-2,greenwich-gr-02-2,GR-02-2,GR-02-2,Greenwich,Greenwich,true,true,ready,
prod_01KM1QHNHZXXSRPFEKAZRSFPDE,greenwich-gr-09-1-bed-90,greenwich-gr-09-1-bed-90,GR-09-1,GR-09-1,Greenwich,Greenwich,true,true,ready,
