product_id,handle,sku,collection,classification,field,old_text,new_text,status,source_facts,editorial_notes
prod_01KNTBXADAKWN6BXHSYFRX0R2F,co-02-1,CO-02-1,Country London Paris,CONFIGURABLE,subtitle,,"Двухдверный платяной шкаф Country — 120 см по фронту, четыре цвета эмали.",safe_to_rewrite,"габариты 1200×640×2200 мм; 2 двери — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAKWN6BXHSYFRX0R2F,co-02-1,CO-02-1,Country London Paris,CONFIGURABLE,description,,"Двухдверный шкаф коллекции Country London Paris: фронт 120 см, глубина 64 см, высота 220 см — на 12 см выше типового шкафа, что даёт дополнительный объём под антресольное хранение. Цвет выбирается из четырёх: голубой, серый, молочный или оливковый — гамма коллекции построена на приглушённых «загородных» тонах, которые спокойно уживаются друг с другом в одной комнате.",safe_to_rewrite,"габариты 1200×640×2200 мм; 2 двери — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADA9TM4A89YEGTRVFDR,co-05-1,CO-05-1,Country London Paris,CONFIGURABLE,subtitle,,"Комод Country — 90 см по фронту, четыре цвета крашеного фасада.",safe_to_rewrite,"габариты 900×560×810 мм; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADA9TM4A89YEGTRVFDR,co-05-1,CO-05-1,Country London Paris,CONFIGURABLE,description,,"Комод Country London Paris: 90 см по фронту, 56 см в глубину, 81 см в высоту — базовый спальный формат. Крашеный фасад выпускается в четырёх цветах коллекции: голубом, сером, молочном и оливковом; комод может совпадать по тону со шкафом или намеренно отличаться — палитра рассчитана на такие сочетания. Столешница на высоте 81 см остаётся рабочей поверхностью.",safe_to_rewrite,"габариты 900×560×810 мм; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAV2SBRCDYKZDNJJDB,co-08-1,CO-08-1,Country London Paris,CONFIGURABLE,subtitle,,"Прикроватная тумбочка Country — 50 см, четыре цвета в палитре коллекции.",safe_to_rewrite,"габариты 500×440×600 мм; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAV2SBRCDYKZDNJJDB,co-08-1,CO-08-1,Country London Paris,CONFIGURABLE,description,,"Прикроватная тумбочка Country London Paris: 50 см в ширину, 44 см в глубину, 60 см в высоту. Столешница на уровне руки лежащего — под лампу, книгу и телефон. Четыре цвета на выбор — голубой, серый, молочный, оливковый — позволяют паре тумбочек поддержать кровать тон в тон или дать спальне два спокойных акцента.",safe_to_rewrite,"габариты 500×440×600 мм; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADASA751ZC9C33QCE9M,co-14-2,CO-14-2,Country London Paris,CONFIGURABLE,title,Кровать 1 сп. (90*190) с подъем мех,Кровать 1-сп. (90×190) с подъёмным механизмом,safe_to_rewrite,габариты 982×1994×1100 мм; матрас и механизм — из названия; finish_color_labels — 2 цвета,
prod_01KNTBXADASA751ZC9C33QCE9M,co-14-2,CO-14-2,Country London Paris,CONFIGURABLE,subtitle,,Односпальная кровать Country 90 × 190 см с подъёмным механизмом.,safe_to_rewrite,габариты 982×1994×1100 мм; матрас и механизм — из названия; finish_color_labels — 2 цвета,
prod_01KNTBXADASA751ZC9C33QCE9M,co-14-2,CO-14-2,Country London Paris,CONFIGURABLE,description,,"Односпальная кровать Country London Paris под матрас 90 × 190 см с подъёмным механизмом: основание поднимается, открывая место для хранения под матрасом. Корпус 98 × 199 см, изголовье 110 см; цвет — из палитры коллекции, для этой модели доступны два варианта.",safe_to_rewrite,габариты 982×1994×1100 мм; матрас и механизм — из названия; finish_color_labels — 2 цвета,
prod_01KNTBXADAMWN4PD2KMWP2E4MH,co-15-2,CO-15-2,Country London Paris,CONFIGURABLE,title,"Кровать 1,5 сп. (120*190) с подъем мех","Кровать 1,5-сп. (120×190) с подъёмным механизмом",safe_to_rewrite,"габариты 1282×1990×1150 мм; матрас и механизм — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAMWN4PD2KMWP2E4MH,co-15-2,CO-15-2,Country London Paris,CONFIGURABLE,subtitle,,Полуторная кровать Country 120 × 190 см с подъёмным механизмом.,safe_to_rewrite,"габариты 1282×1990×1150 мм; матрас и механизм — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAMWN4PD2KMWP2E4MH,co-15-2,CO-15-2,Country London Paris,CONFIGURABLE,description,,"Полуторная кровать Country London Paris под матрас 120 × 190 см с подъёмным механизмом. Матрас с основанием поднимается — под ним место для хранения. Корпус 128 × 199 см, изголовье 115 см. Цвет выбирается из четырёх: голубой, серый, молочный или оливковый.",safe_to_rewrite,"габариты 1282×1990×1150 мм; матрас и механизм — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
prod_01KNTBXADAPWAQGMQG48P00R3M,co-61-1,CO-61-1,Country London Paris,CONFIGURABLE,subtitle,,"Книжный шкаф Country со стеклом — 120 см по фронту, 220 см высоты.",safe_to_rewrite,"габариты 1200×428×2200 мм; стекло — из названия; finish_color_labels: Голубой, Серый, Молочный, Оливковый",
